file,var_name,var_label,matched_by
cfps2010famecon_202008.dta,ff7,去年，您家还有其他非工资性或农业生产收入吗,label_regex
cfps2010famecon_202008.dta,ff701,去年，您家其他非工资性收入或农业收入一共有多少（元）,label_regex
cfps2010famecon_202008.dta,finc,工资性收入,name_hint
cfps2010famecon_202008.dta,fk3,"去年,您家农、林、牧、副、渔业的毛收入是多少元",label_regex+name_hint
cfps2010famecon_202008.dta,fk4,"去年,您家农业经营的总成本是多少元",name_hint
cfps2010famecon_202008.dta,foperate,调整后的经营性总收入（包括农业生产和非农经营）,name_hint
cfps2010famecon_202008.dta,inc_agri,调整后的农业生产总收入,label_regex+name_hint
cfps2010famecon_202008.dta,net_agri,调整后的农业生产纯收入,label_regex+name_hint
cfps2012famecon_201906.dta,fixed_asset,生产性固定资产-元,name_hint
cfps2012famecon_201906.dta,fl1,您家农业活动的管账人,name_hint
cfps2012famecon_201906.dta,fl2,是否从事种植业林业,name_hint
cfps2012famecon_201906.dta,fl3,您家农林产品总值(元),name_hint
cfps2012famecon_201906.dta,fl4,为农林生产投入总费用,name_hint
cfps2012famecon_201906.dta,fl401,种子化肥农药费（元）,name_hint
cfps2012famecon_201906.dta,fl402,雇工费（元）,name_hint
cfps2012famecon_201906.dta,fl403,机器租赁和灌溉费（元）,name_hint
cfps2012famecon_201906.dta,fl404,投入农林生产的其他费用元,name_hint
cfps2012famecon_201906.dta,fl5,是否养过牲畜或水产品,name_hint
cfps2012famecon_201906.dta,fl6,您家现有禽畜水产总值元,name_hint
cfps2012famecon_201906.dta,fl7,您家的牲畜水产总值元,name_hint
cfps2012famecon_201906.dta,fl8,过去一年您家禽畜副产品总值（元）,name_hint
cfps2012famecon_201906.dta,fl9,养牲畜水产投入的费用(元),name_hint
cfps2012famecon_201906.dta,fl901,种畜鱼苗费（元）,name_hint
cfps2012famecon_201906.dta,fl902,雇工费（元）,name_hint
cfps2012famecon_201906.dta,fl903,饲料费（元）,name_hint
cfps2012famecon_201906.dta,fl904,其他花费（元）,name_hint
cfps2012famecon_201906.dta,foperate_1,经营性收入,name_hint
cfps2012famecon_201906.dta,foperate_2,经营性收入（与2010年可比）,name_hint
cfps2012famecon_201906.dta,fresp2yy,农业收入与支出应答者,label_regex
cfps2014famecon_201906.dta,finc,过去12个月总收入(元),name_hint
cfps2014famecon_201906.dta,fixed_asset,生产性固定资产（元）,name_hint
cfps2014famecon_201906.dta,fl10,自家消费总值(元),name_hint
cfps2014famecon_201906.dta,fl3,是否从事种植业林业,name_hint
cfps2014famecon_201906.dta,fl5,种植业林业投入成本(元),name_hint
cfps2014famecon_201906.dta,fl501,种子化肥农药费(元),name_hint
cfps2014famecon_201906.dta,fl502,雇工费(元),name_hint
cfps2014famecon_201906.dta,fl503,机器租赁费(元),name_hint
cfps2014famecon_201906.dta,fl504,灌溉费(元),name_hint
cfps2014famecon_201906.dta,fl505,其他费用成本(元),name_hint
cfps2014famecon_201906.dta,fl6,是否养过牲畜或水产品,name_hint
cfps2014famecon_201906.dta,fl8,牲畜水产品投入成本(元),name_hint
cfps2014famecon_201906.dta,fl801,种畜鱼苗费(元),name_hint
cfps2014famecon_201906.dta,fl802,雇工费(元),name_hint
cfps2014famecon_201906.dta,fl803,机器租赁费(元),name_hint
cfps2014famecon_201906.dta,fl804,饲料费(元),name_hint
cfps2014famecon_201906.dta,fl805,牲畜水产的其他花费(元),name_hint
cfps2014famecon_201906.dta,fl9,您家农副产品总值(元),name_hint
cfps2014famecon_201906.dta,foperate_1,经营性收入,name_hint
cfps2014famecon_201906.dta,foperate_2,经营性收入（与2010年可比）,name_hint
cfps2016famecon_201807.dta,finc,过去12个月总收入（元）,name_hint
cfps2016famecon_201807.dta,fixed_asset,生产性固定资产（元）,name_hint
cfps2016famecon_201807.dta,fl10,自家农副产品消费总值（元）,name_hint
cfps2016famecon_201807.dta,fl3,是否从事种植业林业,name_hint
cfps2016famecon_201807.dta,fl501,种子化肥农药费（元）,name_hint
cfps2016famecon_201807.dta,fl502,雇工费（元）,name_hint
cfps2016famecon_201807.dta,fl503,机器租赁费（元）,name_hint
cfps2016famecon_201807.dta,fl504,灌溉费（元）,name_hint
cfps2016famecon_201807.dta,fl505,其他费用成本（元）,name_hint
cfps2016famecon_201807.dta,fl6,是否养过牲畜或水产品,name_hint
cfps2016famecon_201807.dta,fl801,种畜鱼苗费（元）,name_hint
cfps2016famecon_201807.dta,fl802,雇工费（元）,name_hint
cfps2016famecon_201807.dta,fl803,机器租赁费（元）,name_hint
cfps2016famecon_201807.dta,fl804,饲料费（元）,name_hint
cfps2016famecon_201807.dta,fl805,牲畜水产的其他花费（元）,name_hint
cfps2016famecon_201807.dta,fl9,您家农副产品总值（元）,name_hint
cfps2016famecon_201807.dta,foperate_1,经营性收入,name_hint
cfps2016famecon_201807.dta,foperate_2,经营性收入（与2010年可比）,name_hint
cfps2018famecon_202101.dta,finc,过去12个月总收入（元）,name_hint
cfps2018famecon_202101.dta,finc1,总收入调整（元/年）,name_hint
cfps2018famecon_202101.dta,fixed_asset,生产性固定资产（元）,name_hint
cfps2018famecon_202101.dta,fl10,自家农副产品消费总值（元）,name_hint
cfps2018famecon_202101.dta,fl3,是否从事种植业林业,name_hint
cfps2018famecon_202101.dta,fl501,种子化肥农药费（元）,name_hint
cfps2018famecon_202101.dta,fl502,雇工费（元）,name_hint
cfps2018famecon_202101.dta,fl503,机器租赁费（元）,name_hint
cfps2018famecon_202101.dta,fl504,灌溉费（元）,name_hint
cfps2018famecon_202101.dta,fl505,其他费用成本（元）,name_hint
cfps2018famecon_202101.dta,fl6,是否养过牲畜或水产品,name_hint
cfps2018famecon_202101.dta,fl801,种畜鱼苗费（元）,name_hint
cfps2018famecon_202101.dta,fl802,雇工费（元）,name_hint
cfps2018famecon_202101.dta,fl803,机器租赁费（元）,name_hint
cfps2018famecon_202101.dta,fl804,饲料费（元）,name_hint
cfps2018famecon_202101.dta,fl805,牲畜水产的其他花费（元）,name_hint
cfps2018famecon_202101.dta,fl9,您家农副产品总值（元）,name_hint
cfps2018famecon_202101.dta,foperate_1,经营性收入,name_hint
cfps2018famecon_202101.dta,foperate_2,经营性收入（与2010年可比）,name_hint
cfps2020famecon_202306.dta,finc,过去12个月总收入（元）,name_hint
cfps2020famecon_202306.dta,finc1,总收入调整（元/年）,name_hint
cfps2020famecon_202306.dta,fixed_asset,生产性固定资产,name_hint
cfps2020famecon_202306.dta,fl10,自家农副产品消费总值（元）,name_hint
cfps2020famecon_202306.dta,fl3,是否从事种植业林业,name_hint
cfps2020famecon_202306.dta,fl501,种子化肥农药费（元）,name_hint
cfps2020famecon_202306.dta,fl502,雇工费（元）,name_hint
cfps2020famecon_202306.dta,fl503,机器租赁费（元）,name_hint
cfps2020famecon_202306.dta,fl504,灌溉费（元）,name_hint
cfps2020famecon_202306.dta,fl505,其他费用成本（元）,name_hint
cfps2020famecon_202306.dta,fl6,是否养过牲畜或水产品,name_hint
cfps2020famecon_202306.dta,fl801,种畜鱼苗费（元）,name_hint
cfps2020famecon_202306.dta,fl802,雇工费（元）,name_hint
cfps2020famecon_202306.dta,fl803,机器租赁费（元）,name_hint
cfps2020famecon_202306.dta,fl804,饲料费（元）,name_hint
cfps2020famecon_202306.dta,fl805,牲畜水产的其他花费（元）,name_hint
cfps2020famecon_202306.dta,fl9,您家农副产品总值（元）,name_hint
cfps2020famecon_202306.dta,foperate_1,经营性收入,name_hint
