file,var_name,var_label,matched_keywords
cfps2010famecon_202008.dta,fe401,去年全年，您家出租房屋的租金总收入为多少 (元),总收入
cfps2010famecon_202008.dta,fe501,去年全年，您家出租土地或其他生产资料的租金总收入(元),总收入
cfps2010famecon_202008.dta,fe601,去年全年出租其他东西的租金总收入为多少(元),总收入
cfps2010famecon_202008.dta,fe701,去年全年，您家出卖财物的总收入为多少(元),总收入
cfps2010famecon_202008.dta,ff502_a_1,成员1：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_2,成员2：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_3,成员3：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_4,成员4：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_5,成员5：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_6,成员6：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_7,成员7：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_8,成员8：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_9,成员9：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_10,成员10：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_11,成员11：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_12,成员12：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_13,成员13：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_14,成员14：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_15,成员15：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_16,成员16：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_17,成员17：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_18,成员18：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_19,成员19：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_20,成员20：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_21,成员21：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_22,成员22：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_23,成员23：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_24,成员24：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_25,成员25：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_26,成员26：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff502_a_27,成员27：去年的总收入，不含离/退休金及其他政府补助（元）,总收入
cfps2010famecon_202008.dta,ff7,去年，您家还有其他非工资性或农业生产收入吗,__composite__
cfps2010famecon_202008.dta,ff701,去年，您家其他非工资性收入或农业收入一共有多少（元）,农业收入;__composite__
cfps2010famecon_202008.dta,fk3,"去年,您家农、林、牧、副、渔业的毛收入是多少元",农、林、牧;副、渔;渔业;毛收入;__composite__
cfps2010famecon_202008.dta,fk4,"去年,您家农业经营的总成本是多少元",农业经营
cfps2010famecon_202008.dta,fk6_s_1,去年，您家是否种植以下农林作物:选择1,作物
cfps2010famecon_202008.dta,fk6_s_2,去年，您家是否种植以下农林作物:选择2,作物
cfps2010famecon_202008.dta,fk6_s_3,去年，您家是否种植以下农林作物:选择3,作物
cfps2010famecon_202008.dta,fk6_s_4,去年，您家是否种植以下农林作物:选择4,作物
cfps2010famecon_202008.dta,fk602_a_1,去年，您家水稻的销售量为(单位：公斤),销售
cfps2010famecon_202008.dta,fk603_a_1,去年，您家水稻的销售收入为（单位：元）,销售;销售收入
cfps2010famecon_202008.dta,fk602_a_2,去年，您家小麦的销售量为(单位：公斤),销售
cfps2010famecon_202008.dta,fk603_a_2,去年，您家小麦的销售收入为（单元：元）,销售;销售收入
cfps2010famecon_202008.dta,fk602_a_3,去年，您家玉米的销售量为(单位：公斤),销售
cfps2010famecon_202008.dta,fk603_a_3,去年，您家玉米的销售收入为（单元：元）,销售;销售收入
cfps2010famecon_202008.dta,fk602_a_4,去年，您家棉花的销售量为(单位：公斤),销售
cfps2010famecon_202008.dta,fk603_a_4,去年，您家棉花的销售收入为（单元：元）,销售;销售收入
cfps2010famecon_202008.dta,fk602_a_5a,去年，您家林产品/林副产品的销售量为（单位：公斤）,销售
cfps2010famecon_202008.dta,fk602_a_5b,去年，您家林产品/林副产品的销售量为（单位：方）,销售
cfps2010famecon_202008.dta,fk603_a_5,去年，您家林产品/林副产品的销售收入为（单元：元）,销售;销售收入
cfps2010famecon_202008.dta,fk7_s_1,去年，您家是否饲养以下家畜或进行渔业生产：选择1,渔业;渔业生产
cfps2010famecon_202008.dta,fk7_s_2,去年，您家是否饲养以下家畜或进行渔业生产：选择2,渔业;渔业生产
cfps2010famecon_202008.dta,fk7_s_3,去年，您家是否饲养以下家畜或进行渔业生产：选择3,渔业;渔业生产
cfps2010famecon_202008.dta,fk701_a_1a,去年，您家猪的总产出为（单位：公斤）,总产出
cfps2010famecon_202008.dta,fk701_a_1b,去年，您家猪的总产出为（单位：头）,总产出
cfps2010famecon_202008.dta,fk703_a_1,去年，您家猪的销售收入为(单位：元),销售;销售收入
cfps2010famecon_202008.dta,fk701_a_2a,去年，您家牛的总产出为（单位：公斤）,总产出
cfps2010famecon_202008.dta,fk701_a_2b,去年，您家牛的总产出为（单位：头）,总产出
cfps2010famecon_202008.dta,fk703_a_2,去年，您家牛的销售收入为(单位：元),销售;销售收入
cfps2010famecon_202008.dta,fk701_a_3a,去年，您家羊的总产出为（单位：公斤）,总产出
cfps2010famecon_202008.dta,fk701_a_3b,去年，您家羊的总产出为（单位：头）,总产出
cfps2010famecon_202008.dta,fk703_a_3,去年，您家羊的销售收入为(单位：元),销售;销售收入
cfps2010famecon_202008.dta,fk701_a_4a,去年，您家鱼的总产出为（单位：公斤）,总产出
cfps2010famecon_202008.dta,fk701_a_4b,去年，您家鱼的总产出为（单位：尾）,总产出
cfps2010famecon_202008.dta,fk703_a_4,去年，您家鱼的销售收入为(单位：元),销售;销售收入
cfps2010famecon_202008.dta,inc_agri,调整后的农业生产总收入,总收入;农业生产总收入;__composite__
cfps2010famecon_202008.dta,net_agri,调整后的农业生产纯收入,农业生产纯收入;__composite__
cfps2010famecon_202008.dta,firm,非农经营收入,经营收入
cfps2010famecon_202008.dta,faminc_old,未调整的家庭总收入,总收入
cfps2010famecon_202008.dta,faminc,调整后的家庭总收入,总收入
cfps2010famecon_202008.dta,indinc,调整后的家庭人均总收入,总收入
cfps2010famecon_202008.dta,foperate,调整后的经营性总收入（包括农业生产和非农经营）,总收入;__composite__
cfps2010famecon_202008.dta,foperate_net,调整后的经营性纯收入（包括农业生产和非农经营）,__composite__
cfps2012famecon_201906.dta,fl2,是否从事种植业林业,种植业;林业
cfps2012famecon_201906.dta,ff602est,"过去一年,所有家庭成员的工资总收入-估计值",总收入
cfps2012famecon_201906.dta,ff602_max,"过去一年,所有家庭成员的工资总收入-最大值",总收入
cfps2012famecon_201906.dta,ff602_min,"过去一年,所有家庭成员的工资总收入-最小值",总收入
cfps2012famecon_201906.dta,fp304_t,过去一个月您家消费的自产农产品的市值（元）,农产品
cfps2012famecon_201906.dta,fresp2yy,农业收入与支出应答者,农业收入;__composite__
cfps2012famecon_201906.dta,fl201_s_1,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl201_s_2,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl201_s_3,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl201_s_4,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl201_s_5,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl201_s_6,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl201_s_7,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl201_s_8,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl201_s_9,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl201_s_10,从事种植业林业的家人,种植业;林业
cfps2012famecon_201906.dta,fl501_s_1,从事牲畜水产养殖的人,养殖
cfps2012famecon_201906.dta,fl501_s_2,从事牲畜水产养殖的人,养殖
cfps2012famecon_201906.dta,fl501_s_3,从事牲畜水产养殖的人,养殖
cfps2012famecon_201906.dta,fl501_s_4,从事牲畜水产养殖的人,养殖
cfps2012famecon_201906.dta,fl501_s_5,从事牲畜水产养殖的人,养殖
cfps2012famecon_201906.dta,fl501_s_6,从事牲畜水产养殖的人,养殖
cfps2012famecon_201906.dta,fl501_s_7,从事牲畜水产养殖的人,养殖
cfps2012famecon_201906.dta,fl501_s_8,从事牲畜水产养殖的人,养殖
cfps2012famecon_201906.dta,fp304,过去一周您家消费的自产农产品的市值（元）,农产品
cfps2014famecon_201906.dta,fl3,是否从事种植业林业,种植业;林业
cfps2014famecon_201906.dta,fl5,种植业林业投入成本(元),种植业;林业
cfps2014famecon_201906.dta,fr501,房租总收入（元）,总收入
cfps2014famecon_201906.dta,fu102,重大事件总收入(元),总收入
cfps2014famecon_201906.dta,finc,过去12个月总收入(元),总收入
cfps2014famecon_201906.dta,finc_est,过去12个月总收入区间-估计值（元）,总收入
cfps2014famecon_201906.dta,finc_max,过去12个月总收入区间-最大值（元）,总收入
cfps2014famecon_201906.dta,finc_min,过去12个月总收入区间-最小值（元）,总收入
cfps2016famecon_201807.dta,fk1l,是否从事农林牧副渔工作,农林牧
cfps2016famecon_201807.dta,fl3,是否从事种植业林业,种植业;林业
cfps2016famecon_201807.dta,fr501,房租总收入（元）,总收入
cfps2016famecon_201807.dta,fu102,重大事件总收入（元）,总收入
cfps2016famecon_201807.dta,finc,过去12个月总收入（元）,总收入
cfps2016famecon_201807.dta,finc_max,过去12个月总收入区间-最大值（元）,总收入
cfps2016famecon_201807.dta,finc_min,过去12个月总收入区间-最小值（元）,总收入
cfps2016famecon_201807.dta,finc_est,过去12个月总收入区间-估计值（元）,总收入
cfps2018famecon_202101.dta,fk1l,是否从事农林牧副渔工作,农林牧
cfps2018famecon_202101.dta,fl3,是否从事种植业林业,种植业;林业
cfps2018famecon_202101.dta,fr501,房租总收入（元）,总收入
cfps2018famecon_202101.dta,fu102,重大事件总收入（元）,总收入
cfps2018famecon_202101.dta,finc,过去12个月总收入（元）,总收入
cfps2018famecon_202101.dta,finc_max,过去12个月总收入区间-最大值（元）,总收入
cfps2018famecon_202101.dta,finc_min,过去12个月总收入区间-最小值（元）,总收入
cfps2018famecon_202101.dta,finc_est,过去12个月总收入区间-估计值（元）,总收入
cfps2018famecon_202101.dta,finc1,总收入调整（元/年）,总收入
cfps2020famecon_202306.dta,fk1l,是否从事农林牧副渔工作,农林牧
cfps2020famecon_202306.dta,fl3,是否从事种植业林业,种植业;林业
cfps2020famecon_202306.dta,fr501,房租总收入（元/年）,总收入
cfps2020famecon_202306.dta,fu102,重大事件总收入（元）,总收入
cfps2020famecon_202306.dta,finc,过去12个月总收入（元）,总收入
cfps2020famecon_202306.dta,finc_max,过去12个月总收入区间-最大值（元）,总收入
cfps2020famecon_202306.dta,finc_min,过去12个月总收入区间-最小值（元）,总收入
cfps2020famecon_202306.dta,finc_est,过去12个月总收入区间-估计值（元）,总收入
cfps2020famecon_202306.dta,finc1,总收入调整（元/年）,总收入
